Identifier,StructureData,
Entry ID,PDB ID,
"7TBN","7TBN"
"7TBO","7TBO"
"7TBQ","7TBQ"
"7TCD","7TCD"
"7TJL","7TJL"
"7TLS","7TLS"
"7TLU","7TLU"
"7TM1","7TM1"
"7TM2","7TM2"
"7TMA","7TMA"
"7TME","7TME"
"7TMH","7TMH"
"7TMI","7TMI"
"7TMJ","7TMJ"
"7TMK","7TMK"
"7TML","7TML"
"7UBC","7UBC"
"7UBD","7UBD"
"7UBE","7UBE"
"7UBF","7UBF"
"7UBG","7UBG"
"7UBH","7UBH"
"7UBI","7UBI"
"7UCP","7UCP"
"7UDJ","7UDJ"
"7UDK","7UDK"
"7UDL","7UDL"
"7UDM","7UDM"
"7UDN","7UDN"
"7UDO","7UDO"
"7UE2","7UE2"
"7UEK","7UEK"
"7UNH","7UNH"
"7UNI","7UNI"
"7UNJ","7UNJ"
"7UPO","7UPO"
"7UPP","7UPP"
"7UPQ","7UPQ"
"7UR7","7UR7"
"7UR8","7UR8"
"7UWY","7UWY"
"7UWZ","7UWZ"
"7UZL","7UZL"
"7VQL","7VQL"
"7VQV","7VQV"
"7VQW","7VQW"
"7VTY","7VTY"
"7VU4","7VU4"
"7XM1","7XM1"
"7YH8","7YH8"
"7ZBS","7ZBS"
"8A09","8A09"
"8A19","8A19"
"8A1A","8A1A"
"8A3G","8A3G"
"8A3I","8A3I"
"8A3J","8A3J"
"8A3K","8A3K"
"8AH9","8AH9"
"8B15","8B15"
"8B16","8B16"
"8B45","8B45"
"8BCS","8BCS"
"8BCT","8BCT"
"8BFD","8BFD"
"8BFE","8BFE"
"8BL6","8BL6"
"8BU0","8BU0"
"8CH0","8CH0"
"8CHY","8CHY"
"8CIG","8CIG"
"8CKR","8CKR"
"8CMQ","8CMQ"
"8CP8","8CP8"
"8CQP","8CQP"
"8CQQ","8CQQ"
"8CTO","8CTO"
"8CUN","8CUN"
"8CUS","8CUS"
"8CUT","8CUT"
"8CUU","8CUU"
"8CUV","8CUV"
"8CUW","8CUW"
"8CUX","8CUX"
"8CWA","8CWA"
"8CWS","8CWS"
"8CWY","8CWY"
"8CWZ","8CWZ"
"8CYK","8CYK"
"8D03","8D03"
"8D04","8D04"
"8D05","8D05"
"8D06","8D06"
"8D07","8D07"
"8D08","8D08"
"8D09","8D09"
"8D9O","8D9O"
"8D9P","8D9P"
"8DPY","8DPY"
"8DT0","8DT0"
"8DZ8","8DZ8"
"8E0L","8E0L"
"8E0M","8E0M"
"8E0N","8E0N"
"8E0O","8E0O"
"8E12","8E12"
"8E1E","8E1E"
"8E55","8E55"
"8EC9","8EC9"
"8ECA","8ECA"
"8EJA","8EJA"
"8EK4","8EK4"
"8EOV","8EOV"
"8EOX","8EOX"
"8EOZ","8EOZ"
"8ERW","8ERW"
"8ETQ","8ETQ"
"8F4X","8F4X"
"8F53","8F53"
"8F54","8F54"
"8F6Q","8F6Q"
"8F6R","8F6R"
"8FAR","8FAR"
"8FBI","8FBI"
"8FBJ","8FBJ"
"8FBK","8FBK"
"8FBN","8FBN"
"8FBO","8FBO"
"8FG6","8FG6"
"8FIH","8FIH"
"8FIN","8FIN"
"8FIQ","8FIQ"
"8FIT","8FIT"
"8FJE","8FJE"
"8FJF","8FJF"
"8FJG","8FJG"
"8FLX","8FLX"
"8FVT","8FVT"
"8FWD","8FWD"
"8G8I","8G8I"
"8G9J","8G9J"
"8G9K","8G9K"
"8GA6","8GA6"
"8GA7","8GA7"
"8GA9","8GA9"
"8GAA","8GAA"
"8GAQ","8GAQ"
"8GB9","8GB9"
"8GBA","8GBA"
"8GBH","8GBH"
"8GBI","8GBI"
"8GBM","8GBM"
"8GBO","8GBO"
"8GD6","8GD6"
"8GD8","8GD8"
"8GEL","8GEL"
"8GIV","8GIV"
"8GJ7","8GJ7"
"8GJC","8GJC"
"8GJD","8GJD"
"8GJG","8GJG"
"8GJI","8GJI"
"8GK1","8GK1"
"8GK2","8GK2"
"8GK9","8GK9"
"8GKB","8GKB"
"8GKX","8GKX"
"8GL0","8GL0"
"8GL3","8GL3"
"8GL4","8GL4"
"8GL5","8GL5"
"8GLT","8GLT"
"8H7C","8H7C"
"8H7D","8H7D"
"8H7E","8H7E"
"8HDU","8HDU"
"8HDV","8HDV"
"8I8Y","8I8Y"
"8J1W","8J1W"
"8J1X","8J1X"
"8J98","8J98"
"8JKU","8JKU"
"8JPA","8JPA"
"8JU8","8JU8"
"8JYT","8JYT"
"8OYS","8OYS"
"8OYV","8OYV"
"8OYW","8OYW"
"8OYX","8OYX"
"8OYY","8OYY"
"8P4Y","8P4Y"
"8SJF","8SJF"
"8SJG","8SJG"
"8SJH","8SJH"
"8SJI","8SJI"
"8SW2","8SW2"
"8SY4","8SY4"
"8SZZ","8SZZ"
"8T61","8T61"
"8T62","8T62"
"8T63","8T63"
"8TL7","8TL7"
"8TNM","8TNM"
"8TNO","8TNO"
"8TXS","8TXS"
"8U5A","8U5A"
"8UF0","8UF0"
"8UGC","8UGC"
"8UI2","8UI2"
"8UKM","8UKM"
"8UMP","8UMP"
"8UMR","8UMR"
"8UN1","8UN1"
"8V2D","8V2D"
"8V3B","8V3B"
"8V56","8V56"
"8V59","8V59"
"8V5W","8V5W"
"8V5X","8V5X"
"8V5Z","8V5Z"
"8V61","8V61"
"8VC8","8VC8"
"8Y33","8Y33"
"1BB1","1BB1"
"3V1C","3V1C"
"4D49","4D49"
"4ESS","4ESS"
"4Z08","4Z08"
"5D2T","5D2T"
"5D2V","5D2V"
"5D2W","5D2W"
"5D2X","5D2X"
"5D2Y","5D2Y"
"5D30","5D30"
"5D32","5D32"
"5D33","5D33"
"5D37","5D37"
"5D38","5D38"
"5KNH","5KNH"
"5OD1","5OD1"
"5OD9","5OD9"
"2L96","2L96"
"2L99","2L99"
"2L9A","2L9A"
"2LXO","2LXO"
"2N3Z","2N3Z"
"2N41","2N41"
"2N4E","2N4E"
"2N63","2N63"
"2N65","2N65"
"2N8D","2N8D"
"3R2X","3R2X"
"4ATZ","4ATZ"
"4JW2","4JW2"
"4NTP","4NTP"
"4NTR","4NTR"
"4NW8","4NW8"
"4NW9","4NW9"
"4TUT","4TUT"
"4UBY","4UBY"
"4UBZ","4UBZ"
"4W5L","4W5L"
"4W5M","4W5M"
"4W5P","4W5P"
"4W5Y","4W5Y"
"4W67","4W67"
"4W71","4W71"
"4WBU","4WBU"
"4WBV","4WBV"
"5H7C","5H7C"
"5VLI","5VLI"
"5WRX","5WRX"
"6N4N","6N4N"
"3V1A","3V1A"
"3V1B","3V1B"
"3V1D","3V1D"
"3V1E","3V1E"
"3V1F","3V1F"
"4JW3","4JW3"
